编号,遗址名称,已知类型,地貌,面积(平方米),相对高度(米),经纬度
1,羊尾巴山,墓地,坡地,4000,3,"120°02'15.6""30°25'53.9"""
2,宗家里,,坡地,2000,3.5,"120°01'58.8""30°25'57.4"""
3,观音地,,土丘,3009,1.75,"120°01'46.2""30°25'52.0"""
4,小竹山,墓地,坡地,5000,3,"120°01'36.1""30°25'49.0"""
5,窑墩,,坡地,8000,3,"120°01'32.9""30°25'46.2"""
6,瑶山,祭坛墓地,山头,6000,35,"120°00'54.8""30°25'40.0"""
7,馒头山,,山头,3000,15,"120°00'53.9""30°25'34.1"""
8,凤凰山脚,,坡地,10000,6,"120°00'48.5""30°25'29.0"""
9,坟山前,,土丘,6000,1.5,"120°01'01.1""30°25'21.0"""
10,钵衣山,墓地居址,坡地,10000,6,"120°00'39.2""30°25'20.4"""
11,官庄,居址,土丘水田,45000,1.5,"120°00'41.7""30°25'17.6"""
12,梅园里,居址墓地,土丘,35000,2,"120°00'29.1""30°25'05.8"""
13,舍前,居址,土丘,10000,1.5,"120°00'29.7""30°25'01.0"""
14,百亩山,,坡地,3000,8,"120°00'04.6""30°25'10.4"""
15,葛家村,居址墓地,土丘,10000,1.5,"119°59'40.4""30°25'04.4"""
16,王家庄,居址墓地,土丘,20000,1.75,"119°59'46.4""30°24'55.7"""
17,料勺柄,墓地,土丘,3000,1.5,"119°59'48.0""30°24'51.0"""
18,姚家墩,大型居址,土丘,60000,2,"119°59'37.1""30°24'54.1"""
19,卢村,祭坛墓地,方形土台,40000,3,"119°59'28.5""30°25'04.1"""
20,金村,,土丘,4000,1.5,"119°59'31.3""30°24'53.5"""
21,朱家?,,土丘,1200,1,"119°59'20.1""30°25'58.1"""
22,王家墩,,土丘,1000,1,"119°59'06.0""30°24'52.2"""
23,东黄头,,土丘,15000,2.5,"119°59'00.5""30°24'56.1"""
24,黄路头,墓地,土丘,20000,2,"119°58'53.1""30°24'53.8"""
25,甪窦湾,,土丘,5000,1,"119°58'53.1""30°24'45.4"""
26,子母墩,祭坛?,方形土台,6400,11,"119°58'44.0""30°24'44.6"""
27,河中桥,居址,土丘,20000,3.5,"119°58'08.7""30°24'43.4"""
28,塘山,土垣,长垣,130000,7,"119°59'15.9""30°25'04.2"""
29,前头山,,坡地,2000,8,"119°57'12.4""30°24'37.2"""
30,吴家埠,居址墓地,山头水田,20000,8.5,"119°57'14.8""30°24'20.0"""
31,汇观山,祭坛墓地,山头,6000,20,"119°57'48.5""30°24'11.0"""
32,张家墩,居址,土丘,20000,1.5,"119°58'11.8""30°23'27.1"""
33,仲家山,墓地,土丘,300,1.5,"119°58'19.0""30°23'18.4"""
34,文家山,墓地,土丘,8000,3,"119°58'18.2""30°23'15.7"""
35,杜山,,土丘,600,1.5,"119°58'17.7""30°23'11.8"""
36,凤山脚,居址墓地,坡地,50000,3.5,"119°58'28.8""30°23'12.3"""
37,南墩,,土丘,3000,3,"119°58'25.7""30°23'06.7"""
38,沈家山,居址,土丘水田,60000,1.25,"119°58'41.3""30°23'31.0"""
39,桑树头,墓地,土丘,15000,2.5,"119°58'49.9""30°23'28.6"""
40,洪家山,,土丘,4500,1.5,"119°58'50.5""30°23'16.7"""
41,张家山,,土丘,10000,1,"119°58'54.7""30°23'18.6"""
42,矩形山,,土丘,2000,1,"119°59'56.6""30°23'20.6"""
43,沈塘山,,土丘,3500,1,"119°58'59.7""30°23'18.6"""
44,皇坟山,,山丘,40000,7,"119°59'13.6""30°23'24.5"""
45,花园里,居址,土丘水田,10000,1,"119°59'50.8""30°23'29.7"""
46,野猫山,,土丘,5000,2,"119°59'17.9""30°23'10.1"""
47,西头山,,土丘,3500,1.75,"119°59'23.0""30°23'10.0"""
48,公家山,居址墓地,土丘,10000,2,"119°59'27.8""30°23'12.6"""
49,卞家山,居址墓地,长土丘,10000,1.5,"119°59'27.4""30°22'52.2"""
50,马山,墓地祭坛?,方形台地,20000,4,"119°59'40.8""30°22'36.5"""
51,盛家村,墓地,滩涂,4500,0,"119°59'00.7""30°24'36.7"""
52,黄泥口,,土丘,15000,1.75,"119°59'03.0""30°24'25.2"""
53,金地,居址,土丘,15000,2,"119°59'00.3""30°24'19.8"""
54,扁担山,居址墓地,长土丘,7000,1.25,"119°59'05.1""30°24'18.5"""
55,阿太坟,,土丘,5000,1.5,"119°58'54.6""30°24'11.7"""
56,黄泥山,,土丘,3000,2,"119°58'54.0""30°24'07.2"""
57,馒头山,,土丘,5000,3.5,"119°58'58.0""30°24'07.1"""
58,湖寺地,居址,土丘,12000,1.5,"119°59'13.1""30°24'06.3"""
59,西边山,,土丘,3000,1.25,"119°58'59.7""30°23'59.7"""
60,费家头,,坡地土丘,1000,1.5,"119°58'57.0""30°23'57.2"""
61,白元畈,,土丘,2500,1.25,"119°58'47.0""30°23'54.3"""
62,大地,,土丘,2500,1,"119°58'44.3""30°23'51.9"""
63,张墩山,,土丘,700,1.5,"119°58'46.6""30°23'51.6"""
64,反山,显贵墓地,土丘,10000,3,"119°58'50.8""30°23'52.2"""
65,庙家山,,土丘,4000,1,"119°59'14.1""30°23'59.7"""
66,沈家头,居址,土丘水田,20000,2,"119°59'01.6""30°23'57.8"""
67,毛竹山,,土丘,5000,4,"119°59'03.7""30°23'52.3"""
68,莫角山,城址?,巨形方上台,300000,8,"119°59'07.5""30°23'43.7"""
69,朱村坟,居址,土丘,4000,3,"119°59'11.0""30°23'51.2"""
70,高北山,,土丘,5000,2,"119°59'15.0""30°23'53.0"""
71,和尚地,,长土丘,7000,1.5,"119°59'44.7""30°24'18.2"""
72,后头山,,土丘,4000,1.25,"119°59'43.3""30°24'05.7"""
73,雉山垅,,坡地,8000,3.5,"119°59'27.9""30°23'55.6"""
74,周村,居址,土丘水田,20000,1.5,"119°59'37.0""30°23'58.7"""
75,龙里,护墙?,长土丘,20000,1.5,"119°59'26.2""30°23'53.6"""
76,马金口,居址,土丘,12000,3.75,"119°59'37.0""30°23'50.6"""
77,小马山,,土丘,12000,2.25,"119°59'36.8""30°23'43.4"""
78,石安畈,护墙?,长垣,8000,1.5,"119°59'37.8""30°23'39.8"""
79,钟家村,居址墓地,土丘水田,40000,1,"119°59'21.7""30°23'36.1"""
80,金家弄,,土丘,14000,2.5,"119°59'40.0""30°23'36.0"""
81,美人地,,长土丘,10000,1.5,"119°59'45.8""30°23'49.0"""
82,前山,,坡地,20000,8,"120°00'04.0""30°23'51.0"""
83,里山,,长土丘,10000,1.5,"120°00'00.9""30°23'43.2"""
84,郑村头,,土丘,7000,1.5,"120°00'02.3""30°23'39.4"""
85,师姑山,,土丘,15000,2,"119°59'50.8""30°23'29.5"""
86,苏家村,居址,土丘平地,15000,0.5,"120°00'16.6""30°24'46.2"""
87,癫子坟,,土丘,1000,1,"120°00'12.3""30°24'32.7"""
88,石前圩,居址墓地,土丘,40000,0.75,"120°00'42.6""30°24'34.2"""
89,庄地,,水田,3000,1,"120°00'02.3""30°23'50.1"""
90,山垅地,,土丘水田,10000,1,"120°00'23.4""30°23'44.9"""
91,张家地,,水田,8000,0,"120°00'21.9""30°23'28.7"""
92,长山,,土丘,6000,1,"120°00'32.6""30°23'38.0"""
93,胡林庙,,土丘,20000,1.5,"120°00'39.4""30°23'50.0"""
94,和尚抖,墓地,土丘,10000,1.5,"120°00'43.7""30°23'50.7"""
95,后杨村,居址墓地,土丘,35000,1.5,"120°00'43.2""30°24'03.7"""
96,弟地,,土丘,2000,1,"120°00'46.6""30°24'04.4"""
97,芸香后,,土丘,1600,1.5,"120°00'53.2""30°24'02.5"""
98,沈家场,,土丘,3000,1,"119°01'07.5""30°24'30.2"""
99,西山坟,,土丘,10000,1.5,"120°01'13.2""30°24'28.8"""
100,干家桥,居址,水田,5000,0,"120°01'16.9""30°24'42.5"""
101,后河村,墓地,土丘,10000,1.5,"120°01'17.6""30°24'34.2"""
102,茅草地,,土丘,600,1,"120°01'18.9""30°24'16.7"""
103,观音塘,,水田,600,0,"120°01'25.1""30°24'13.9"""
104,百兽坟,,土丘,3000,1.5,"120°01'37.1""30°24'23.5"""
105,北山车,墓地居址,水田土丘,18000,1,"120°01'39.2""30°24'22.7"""
106,念亩圩,,滩涂,10000,0,"120°01'19.3""30°25'10.4"""
107,塘东村,,土丘,2500,1.5,"120°01'21.0""30°25'07.2"""
108,严家桥,居址,水田,4000,1.5,"120°01'59.3""30°25'00.3"""
109,张娥地,,土丘,4000,1.5,"120°02'18.5""30°24'55.2"""
110,姚坟,,土丘,10000,1.5,"120°02'20.4""30°23'37.2"""
111,许家垟,,土丘,7000,1.5,"120°02'25.3""30°23'32.0"""
112,巫山,,坡地,12000,1.5,"120°02'08.2""30°23'11.7"""
113,猪槽地,居址,土丘水田,12000,1.5,"120°02'15.0""30°23'17.9"""
114,金鸡山,,土丘,8000,2,"120°02'19.8""30°23'17.8"""
115,山大坟,,土丘,12000,1.5,"120°02'22.1""30°23'22.1"""
116,李家坟,,土丘,14000,1.5,"120°02'26.1""30°23'17.1"""
117,沈家坟,,土丘,12000,1,"120°02'23.6""30°23'14.1"""
118,小沈家坟,,土丘,700,1,"120°02'25.9""30°23'10.2"""
119,三仑头,,土丘,600,1,"120°02'28.8""30°23'09.9"""
120,乌龟坟,,土丘,900,1,"120°02'25.4""30°23'07.8"""
121,蘑菇墩,,土丘,750,1,"120°02'27.5""30°23'08.3"""
122,警察坟,,土丘,1000,1,"120°02'25.2""30°23'04.6"""
123,老鬼坟,,土丘,1000,1,"120°02'29.2""30°23'07.0"""
124,长坟,居址,长土丘水田,3000,1.5,"120°02'24.8""30°23'02.9"""
125,棋盘坟,居址,土丘,2500,1.5,"120°02'28.4""30°23'04.8"""
126,荀山西坡,,坡地,2500,1,"120°02'27.4""30°22'59.2"""
127,坟垅里,,土丘,2000,1,"120°02'11.7""30°22'43.9"""
128,南边坟,,土丘,3000,1.5,"120°02'17.1""30°22'43.4"""
129,天打网,居址,土丘,4000,1.5,"120°02'37.4""30°22'44.2"""
130,高墩头,,土丘,2500,2.5,"120°02'41.2""30°23'13.0"""
131,荀山东坡,,坡地,3000,2.5,"120°02'42.3""30°23'08.8"""
132,金霸坟,居址墓地,水田,500,1,"120°02'49.1""30°23'00.0"""
133,庙前,村落,土丘水田,60000,1.5,"120°02'42.5""30°22'57.0"""
134,茅庵里,居址,土丘水田,8000,1,"120°02'56.1""30°22'52.8"""
135,横圩里,居址墓地,土丘,5000,0.5,"120°03'17.9""30°23'09.1"""
